41,Balthazar Lune,Maid,,BaconnEggs,,,baconnarts,https://archiveofourown.org/users/BaconnEggs,Ao3,
42,Wilhelm Gottsreich Sigismond Ormstein,,,SpilledTe,Spilled_Te,,,,,I WANT MY OWN ARMY; I WANT MY OWN PLANET; I DESERVE IT!!!1! -Gotts
43,Courtney Sithe,V. Borshevik,,kovvskii,,,kovvskii,,,
44,Maria Gorey,,alt,cocoreaux,,,cocoreaux_,,,teeheehee *CUTS YOU OPEN
45,Enoch Drebber,,,Agi,_velpi,velpi,,https://linktr.ee/velpi,Linktree,beep boop boop beep
46,Evie Vigil,,,rowan,cursedwurm,cursedwurm,,,,game of all time <3
47,Daley Vigil,,,val-uable.doodles,val_doodles,val-uable-doodles,val.uable_doodles,,,Boo go kiss your wife‚ ugly
48,Barry Caidin,,alt,Black,artist_black,,,,,This one's for the 2 Caidin fans out there!!
49,Venus,Barber,alt,spiderfriend,spiderfriendd,spiderfriend,,,,
50,Fabien de Rousseau,M. Milverton,,Qopphy,,qoppybirdie,,,,my pretty ketchup dipped french fry *kissing noises*
51,Peppino de Rossi,,,Ryth,ryth_lock,ryth-lock,,,,
52,Genshin Asogi,,,Lucid.Moone,flairelucid,,lucid.moone,,,Check out my art accs on twt and insta‚ and feel free to interact with my main ^-^
53,Klint van Zieks,,,Handsome_Kakigori,Hndsm_Kakigori,handsome-kakigori,handsome_kakigori,,,Klint the throat goat 🐐✨. Can you find Genshin’s ring in this piece? Probably not bc it’s smol‚ but it’s there i swear—
54,Lady Baskerville,,,Masa,kazelnoot,,kazelnoot,,,Dgs 3 when (where it's revealed lady b was alive the whole time and was just in hiding) (and also she is my mom) 
